"title","popularity","genres","presentation","credit","videos","photos","top_cast","details_release_date","details_countries_of_origin","details_official_site","details_language","details_also_known_as","details_filming_locations","details_production_companies","specs_color","specs_sound_mix","specs_aspect_ratio","url","comment","media_type","imdb_rating","poster_url","imdb_rating_count","awards","critics_review_count","review_count","review_rating","featured_review","storyline","boxoffice_budget","id"
"Smashing Through",,"[""Drama"",""Western""]","Dave Marco, a claim jumper, and his boss Earl Foster, a crooked investment broker, hire chemist Ralph Brandon to sign papers proclaiming the wealth of a certain mine. Foster then convinces Ralph's mother to invest all of her money in the mine, which actually is worthless. While she and her pretty daughter Holly are waiting in Foster's San Francisco office, they meet Jack Mason, whose rich mine has not yet earned him any profits, and the two young people fall in love. Inspecting her mine in Keno County, Mrs. Brandon learns that it is worthless, but when she confronts Foster, he threatens to have Ralph arrested for signing false documents unless Holly agrees to marry him. Meanwhile, Marco tries to jump Jack's claim but is prevented from doing so by Jack and a sheriff's posse. Foster weds Holly in an illegal ceremony, but Jack and Ralph overtake their train with the aid of a car and then a motorcycle. Finally, Ralph kills Foster, freeing Holly and her mother from his clutches.","[{""names"":[{""link"":""https://www.imdb.com/name/nm0166730/"",""name"":""Elmer Clifton""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm0940820/"",""name"":""Walter Woods""}],""title"":""Writer""},{""names"":[{""link"":""https://www.imdb.com/name/nm0712660/"",""name"":""Herbert Rawlinson""},{""link"":""https://www.imdb.com/name/nm0366457/"",""name"":""Neal Hart""},{""link"":""https://www.imdb.com/name/nm0208659/"",""name"":""Sam De Grasse""}],""title"":""Stars""}]",,"[{""link"":""https://www.imdb.com/title/tt0009624/mediaviewer/rm1546144256"",""name"":""Herbert Rawlinson in Smashing Through (1918)""}]","[{""actor"":""Herbert Rawlinson"",""character"":""Jack Mason"",""link"":""https://www.imdb.com/name/nm0712660""},{""actor"":""Neal Hart"",""character"":""Dave Marco"",""link"":""https://www.imdb.com/name/nm0366457""},{""actor"":""Sam De Grasse"",""character"":""Earl Foster"",""link"":""https://www.imdb.com/name/nm0208659""},{""actor"":""Millard K. Wilson"",""character"":""Ralph Brandon"",""link"":""https://www.imdb.com/name/nm0933878""},{""actor"":""Sally Starr"",""character"":""Holly Brandon"",""link"":""https://www.imdb.com/name/nm0823597""},{""actor"":""Clarissa Selwynne"",""character"":""Mrs. Brandon"",""link"":""https://www.imdb.com/name/nm0783647""},{""actor"":""Paul Hurst"",""character"":""Stevens"",""link"":""https://www.imdb.com/name/nm0403636""}]","6/9/1918 (United States)","United States",,"None, English","The Love Claim","Universal Studios - 100 Universal City Plaza, Universal City, California, USA","Universal Film Manufacturing Company","Black and White","Silent","1.33 : 1","https://www.imdb.com/title/tt0009624/",,"Feature Film",,"https://www.imdb.com/title/tt0009624/mediaviewer/rm1546144256",0,,0,0,,,"Dave Marco, a claim jumper, and his boss Earl Foster, a crooked investment broker, hire chemist Ralph Brandon to sign papers proclaiming the wealth of a certain mine. Foster then convinces Ralph's mother to invest all of her money in the mine, which actually is worthless. While she and her pretty daughter Holly are waiting in Foster's San Francisco office, they meet Jack Mason, whose rich mine has not yet earned him any profits, and the two young people fall in love. Inspecting her mine in Keno County, Mrs. Brandon learns that it is worthless, but when she confronts Foster, he threatens to have Ralph arrested for signing false documents unless Holly agrees to marry him. Meanwhile, Marco tries to jump Jack's claim but is prevented from doing so by Jack and a sheriff's posse. Foster weds Holly in an illegal ceremony, but Jack and Ralph overtake their train with the aid of a car and then a motorcycle. Finally, Ralph kills Foster, freeing Holly and her mother from his clutches. —AFIDave Marco, a claim jumper, and his boss Earl Foster, a crooked investment broker, hire chemist Ralph Brandon to sign papers proclaiming the wealth of a certain mine. Foster then convinces Ralph's mother to invest all of her money in the mine, which actually is worthless. While she and her pretty daughter Holly are waiting in Foster's San Francisco office, they meet Jack Mason, whose rich mine has not yet earned him any profits, and the two young people fall in love. Inspecting her mine in Keno County, Mrs. Brandon learns that it is worthless, but when she confronts Foster, he threatens to have Ralph arrested for signing false documents unless Holly agrees to marry him. Meanwhile, Marco tries to jump Jack's claim but is prevented from doing so by Jack and a sheriff's posse. Foster weds Holly in an illegal ceremony, but Jack and Ralph overtake their train with the aid of a car and then a motorcycle. Finally, Ralph kills Foster, freeing Holly and her mother from his clutches. —AFI",,"tt0009624"
"Houtei Yugi",,"[""Mystery""]","Law students Kiyoshi, Mirei and Kaoru investigate anonymous accusations against them. Unpleasant events occur during their probe, leading to an unforeseen circumstance as they unravel the truth behind the leaflet.","[{""names"":[{""link"":""https://www.imdb.com/name/nm2128244/"",""name"":""Yoshihiro Fukagawa""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm15354432/"",""name"":""Ritsuto Igarashi""},{""link"":""https://www.imdb.com/name/nm6222138/"",""name"":""Saya Matsuda""}],""title"":""Writers""},{""names"":[{""link"":""https://www.imdb.com/name/nm0256628/"",""name"":""Akira Emoto""},{""link"":""https://www.imdb.com/name/nm3065061/"",""name"":""Takumi Kitamura""},{""link"":""https://www.imdb.com/name/nm5477626/"",""name"":""Ren Nagase""}],""title"":""Stars""}]",,"[{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm2251243777"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm2726526465"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm2760080897"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm2793635329"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm1552121345"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm1585675777"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm1350794753"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm1384349185"",""name"":""Houtei Yugi (2023)""},{""link"":""https://www.imdb.com/title/tt29486219/mediaviewer/rm1401126401"",""name"":""Houtei Yugi (2023)""}]","[{""actor"":""Akira Emoto"",""character"":""Satoshi Nara"",""link"":""https://www.imdb.com/name/nm0256628""},{""actor"":""Takumi Kitamura"",""character"":""Kaoru Yuki"",""link"":""https://www.imdb.com/name/nm3065061""},{""actor"":""Ren Nagase"",""character"":""Kiyoshi Kuga"",""link"":""https://www.imdb.com/name/nm5477626""},{""actor"":""Katsuhisa Namase"",""character"":""Shouji Kugimiya"",""link"":""https://www.imdb.com/name/nm0620617""},{""actor"":""Nao Ômori"",""character"":""Daigo Numata"",""link"":""https://www.imdb.com/name/nm1071413""},{""actor"":""Hana Sugisaki"",""character"":""Mirei Orimoto"",""link"":""https://www.imdb.com/name/nm4954157""},{""actor"":""Michitaka Tsutsui"",""character"":""Satoru Sakuma"",""link"":""https://www.imdb.com/name/nm0875487""}]","11/10/2023 (Japan)","Japan",,"Japanese","法庭遊戲",,,"Color",,,"https://www.imdb.com/title/tt29486219/",,"Feature Film",5.1,"https://www.imdb.com/title/tt29486219/mediaviewer/rm1095192577",72,,0,0,,,,,"tt29486219"
"College Boys Live",,"[""Documentary""]","In a quiet Orlando, Florida, suburb three young men struggle to escape the wreckage of their pasts and create new lives for themselves. Their new home is CollegeBoysLive.com, a voyeur web cam house rigged with 32 cameras, where their every move is watched by thousands of paying members. The site's creator claims CollegeBoysLive.com is simply about showing that ""it's okay to be gay."" But the neighbors insist it's a pornographic whorehouse and sue to have them evicted. This intimate and provocative documentary examines a complex subculture, but at its heart is the universal search for family and acceptance.","[{""names"":[{""link"":""https://www.imdb.com/name/nm0640763/"",""name"":""George O'Donnell""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm4565804/"",""name"":""Zac Adams""},{""link"":""https://www.imdb.com/name/nm4128177/"",""name"":""Jonathan Greer""},{""link"":""https://www.imdb.com/name/nm10160020/"",""name"":""Charlie""}],""title"":""Stars""}]",,"[{""link"":""https://www.imdb.com/title/tt1513067/mediaviewer/rm1222502656"",""name"":""College Boys Live (2009)""}]","[{""actor"":""Zac Adams"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm4565804""},{""actor"":""Jonathan Greer"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm4128177""},{""actor"":""Charlie"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm10160020""},{""actor"":""Chuck"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm10160021""},{""actor"":""J.C."",""character"":""Self"",""link"":""https://www.imdb.com/name/nm10160022""},{""actor"":""Sean"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm10160024""},{""actor"":""Tim"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm10160023""}]","6/9/2009 (United States)","United States","http://collegeboyslivemovie.com/","English",,,"Keyknowpix Productions","Color",,"1.33 : 1","https://www.imdb.com/title/tt1513067/",,"Documentary",5.1,"https://www.imdb.com/title/tt1513067/mediaviewer/rm1222502656",118,"1 wins",2,2,10,"This film won the Emerging Talent Award at Outfest in 2009. It is a very up-close look at a &quot;voyeur site&quot;, a web cam house, that is occupied by 6 young gay guys in Orlando, Florida. The site is called &quot;College Boys Live&quot;, it is all real, it&#39;s a pure doc. You get to know the guys who choose to move into the web cam house and what has led them there.If you are a fan of sub-culture documentaries, especially about the sex biz, this one is definitely for you. It gives you full access to how sites like this work, and it&#39;s not at all what you&#39;d expect. The group of &quot;boys&quot; form a kind of dis-functional, but often hilarious family...A group of survivors from hard-scrabble lives, these guys seem straight out of Oliver Twist, but in thongs.The Brit who runs the house and a stalker viewer are fascinating characters...not to mention the Home Owners Association law-suite that is trying to kick them from the neighborhood. You can&#39;t write this stuff, only in America... this is like John Waters does &#39;Waiting for Guffman&#39; al la Jersey Shore....enjoy...!","In a quiet Orlando, Florida, suburb three young men struggle to escape the wreckage of their pasts and create new lives for themselves. Their new home is CollegeBoysLive.com, a voyeur web cam house rigged with 32 cameras, where their every move is watched by thousands of paying members. The site's creator claims CollegeBoysLive.com is simply about showing that ""it's okay to be gay."" But the neighbors insist it's a pornographic whorehouse and sue to have them evicted. This intimate and provocative documentary examines a complex subculture, but at its heart is the universal search for family and acceptance. —Nicolas Poluhoff",,"tt1513067"
"In Tents",,"[""Documentary"",""Comedy""]","Once a year a group of ten young men leave the city and venture far from home into the deep bush of The Pinery in Ontario. For 5 days they struggle to face to the elements, live without modern amenities, and to survive the blinding hangovers that greet them each day.","[{""names"":[{""link"":""https://www.imdb.com/name/nm3704872/"",""name"":""Brad Schinkel""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm3704872/"",""name"":""Brad Schinkel""}],""title"":""Writer""},{""names"":[{""link"":""https://www.imdb.com/name/nm5060664/"",""name"":""Josh Pickles""},{""link"":""https://www.imdb.com/name/nm5060433/"",""name"":""Mike VanGalen""},{""link"":""https://www.imdb.com/name/nm5060209/"",""name"":""Eddie Jarvensivu""}],""title"":""Stars""}]",,"[{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2285700352"",""name"":""Brad Schinkel, Drew Bergen, Brent Hergott, Jordan Pickles, Eddie Jarvensivu, Casey Vankruistum, Mike VanGalen, Josh Pickles, and Stephen Bergen in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2302477568"",""name"":""Jordan Pickles, Casey Vankruistum, and Mike VanGalen in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2336032000"",""name"":""Eddie Jarvensivu in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2386363648"",""name"":""In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2168259840"",""name"":""Mike VanGalen and Stephen Bergen in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2185037056"",""name"":""Mike VanGalen in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2218591488"",""name"":""Stephen Bergen in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm2252145920"",""name"":""Jordan Pickles in In Tents (2012)""},{""link"":""https://www.imdb.com/title/tt2150300/mediaviewer/rm3091006720"",""name"":""Brent Hergott in In Tents (2012)""}]","[{""actor"":""Josh Pickles"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060664""},{""actor"":""Mike VanGalen"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060433""},{""actor"":""Eddie Jarvensivu"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060209""},{""actor"":""Brent Hergott"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060026""},{""actor"":""Stephen Bergen"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060683""},{""actor"":""Drew Bergen"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5059969""},{""actor"":""Jordan Pickles"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060190""},{""actor"":""Casey Vankruistum"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060365""},{""actor"":""Matt Kodos"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060606""},{""actor"":""Brad Schinkel"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm3704872""},{""actor"":""Stephanie Schinkel"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm3704426""},{""actor"":""Katherine Karpiak"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm5060053""},{""actor"":""Katherine Schinkel"",""character"":""Self"",""link"":""https://www.imdb.com/name/nm3704491""}]","6/5/2012 (Canada)","Canada",,"English","In Tents: Grand Bend","Grand Bend, Ontario, Canada","Puur Media",,"Dolby Digital",,"https://www.imdb.com/title/tt2150300/",,"Documentary",,"https://www.imdb.com/title/tt2150300/mediaviewer/rm1770763009",0,,0,0,,,,"CA$10,000.00","tt2150300"
"In the Eye of the Enemy",,"[""War""]","Coming face to face with enemy.","[{""names"":[{""link"":""https://www.imdb.com/name/nm1030254/"",""name"":""Robin Jacob""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm1030254/"",""name"":""Robin Jacob""}],""title"":""Writer""}]",,,,,"United Kingdom",,,,,,,,,"https://www.imdb.com/title/tt5487698/",,"Feature Film",,,0,,0,0,,,"Coming face to face with enemy.",,"tt5487698"
"Biónica",,"[""Sci-Fi""]","A quadriplegic woman undergoes unusual treatment to regain her mobility and also gain other skills.","[{""names"":[{""link"":""https://www.imdb.com/name/nm0673779/"",""name"":""Sebastian Perillo""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm0575690/"",""name"":""Gabriel Medina""},{""link"":""https://www.imdb.com/name/nm0673779/"",""name"":""Sebastian Perillo""},{""link"":""https://www.imdb.com/name/nm1041248/"",""name"":""William Prociuk""}],""title"":""Writers""},{""names"":[{""link"":""https://www.imdb.com/name/nm0034330/"",""name"":""Fabián Arenillas""},{""link"":""https://www.imdb.com/name/nm2253794/"",""name"":""Julia Martínez Rubio""},{""link"":""https://www.imdb.com/name/nm7255629/"",""name"":""Luciana Grasso""}],""title"":""Stars""}]","[{""link"":""https://www.imdb.com/video/vi3747334425"",""name"":""Trailer""},{""link"":""https://www.imdb.com/video/vi1511507481"",""name"":""Teaser Trailer #1""}]","[{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm3082430977"",""name"":""Fabián Arenillas, Santiago Pedrero, and Luciana Grasso in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm714965250"",""name"":""Julia Martínez Rubio in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm2766045698"",""name"":""Julia Martínez Rubio in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm2044625410"",""name"":""Julia Martínez Rubio in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm3160299521"",""name"":""Julia Martínez Rubio in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm3009304577"",""name"":""Fabián Arenillas in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm3059636225"",""name"":""Santiago Pedrero in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm341727233"",""name"":""Luciana Grasso in Biónica (2024)""},{""link"":""https://www.imdb.com/title/tt15125820/mediaviewer/rm3787074049"",""name"":""Fabián Arenillas, Santiago Pedrero, Julia Martínez Rubio, and Luciana Grasso in Biónica (2024)""}]","[{""actor"":""Fabián Arenillas"",""character"":""Dr. Rodolfo Wuntz"",""link"":""https://www.imdb.com/name/nm0034330""},{""actor"":""Julia Martínez Rubio"",""character"":""Emma Rodriguez Alba"",""link"":""https://www.imdb.com/name/nm2253794""},{""actor"":""Luciana Grasso"",""character"":""Ariadna Wuntz"",""link"":""https://www.imdb.com/name/nm7255629""},{""actor"":""Santiago Pedrero"",""character"":""Bruno Larsen"",""link"":""https://www.imdb.com/name/nm0670093""},{""actor"":""Gervasio Usaj"",""character"":""Periodista"",""link"":""https://www.imdb.com/name/nm4319922""},{""actor"":""Gabriel Dopchiz"",""character"":""Alejo Díaz García"",""link"":""https://www.imdb.com/name/nm11721420""},{""actor"":""Martín Morazzo"",""character"":""Fiscal"",""link"":""https://www.imdb.com/name/nm8130202""},{""actor"":""Gustavo Casartelli"",""character"":""Juez"",""link"":""https://www.imdb.com/name/nm7774005""}]","4/24/2025 (Argentina)","Argentina","https://rispofilms.com/en/film/bionica/177","Spanish","Bionic",,"Rispo Films, Más Cine, KAFilms","Color","Dolby Digital","2.35 : 1","https://www.imdb.com/title/tt15125820/",,"Feature Film",5.5,"https://www.imdb.com/title/tt15125820/mediaviewer/rm2044625410",39,"5 wins",11,0,,,"A quadriplegic woman undergoes unusual treatment to regain her mobility and also gain other skills.",,"tt15125820"
"Mister Brain",,,,"[{""names"":[{""link"":""https://www.imdb.com/name/nm0006798/"",""name"":""Matthew Harrison""}],""title"":""Director""}]",,,,,"United States",,"English",,,,,,,"https://www.imdb.com/title/tt0223743/",,"Feature Film",,,0,,0,0,,,,,"tt0223743"
"Red Sands",,"[""Action"",""Horror"",""Thriller"",""War""]","During a mission in the Middle East, a group of US soldiers destroy a statue out of boredom only to then be visited by something the next day.","[{""names"":[{""link"":""https://www.imdb.com/name/nm0877366/"",""name"":""Alex Turner""}],""title"":""Director""},{""names"":[{""link"":""https://www.imdb.com/name/nm1440023/"",""name"":""Simon Barrett""}],""title"":""Writer""},{""names"":[{""link"":""https://www.imdb.com/name/nm0922342/"",""name"":""Shane West""},{""link"":""https://www.imdb.com/name/nm0731346/"",""name"":""Leonard Roberts""},{""link"":""https://www.imdb.com/name/nm0388038/"",""name"":""Aldis Hodge""}],""title"":""Stars""}]","[{""link"":""https://www.imdb.com/video/vi3945661209"",""name"":""Red Sands""},{""link"":""https://www.imdb.com/video/vi1680474905"",""name"":""Red Sands""}]","[{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1841857792"",""name"":""Brendan Miller in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1825080576"",""name"":""Aldis Hodge, Brendan Miller, and Mercedes Mason in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1808303360"",""name"":""Aldis Hodge in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1791526144"",""name"":""Mercedes Mason in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1774748928"",""name"":""Aldis Hodge in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1757971712"",""name"":""Aldis Hodge in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm2009629952"",""name"":""Mercedes Mason in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1992852736"",""name"":""Aldis Hodge and Shane West in Red Sands (2009)""},{""link"":""https://www.imdb.com/title/tt1103256/mediaviewer/rm1976075520"",""name"":""Aldis Hodge in Red Sands (2009)""}]","[{""actor"":""Shane West"",""character"":""Spc. Jeff Keller"",""link"":""https://www.imdb.com/name/nm0922342""},{""actor"":""Leonard Roberts"",""character"":""SSgt. Marcus Howston"",""link"":""https://www.imdb.com/name/nm0731346""},{""actor"":""Aldis Hodge"",""character"":""Trevor Anderson"",""link"":""https://www.imdb.com/name/nm0388038""},{""actor"":""Callum Blue"",""character"":""Gregory Wilcox"",""link"":""https://www.imdb.com/name/nm0089485""},{""actor"":""Brendan Miller"",""character"":""Pfc. Chard Davies"",""link"":""https://www.imdb.com/name/nm1676629""},{""actor"":""Theo Rossi"",""character"":""Pfc. Tino Hull"",""link"":""https://www.imdb.com/name/nm0744331""},{""actor"":""Noel Gugliemi"",""character"":""Pfc. Jorge Wardell"",""link"":""https://www.imdb.com/name/nm0346595""},{""actor"":""Mercedes Mason"",""character"":""Arab Woman"",""link"":""https://www.imdb.com/name/nm1997689""},{""actor"":""Govinda Touzene"",""character"":""Afghan Child"",""link"":""https://www.imdb.com/name/nm2403106""},{""actor"":""Andrew Elvis Miller"",""character"":""Parker"",""link"":""https://www.imdb.com/name/nm0587890""},{""actor"":""Fahim Fazli"",""character"":""Goat Herder"",""link"":""https://www.imdb.com/name/nm2390252""},{""actor"":""Ashourina Benjamin"",""character"":""Ahfgan Dead Mom"",""link"":""https://www.imdb.com/name/nm2333580""},{""actor"":""Simon Barrett"",""character"":""Matt Carson"",""link"":""https://www.imdb.com/name/nm1440023""},{""actor"":""Chris Carter"",""character"":""Hollister"",""link"":""https://www.imdb.com/name/nm2586703""},{""actor"":""Kim Stodel"",""character"":""Clemens"",""link"":""https://www.imdb.com/name/nm1446360""},{""actor"":""Chris Paul"",""character"":""Thompson"",""link"":""https://www.imdb.com/name/nm3087887""},{""actor"":""Sarah Doolan"",""character"":""Linda"",""link"":""https://www.imdb.com/name/nm2697576""},{""actor"":""Adam Gierasch"",""character"":""Sergeant Ramsey"",""link"":""https://www.imdb.com/name/nm0317368""}]","2/24/2009 (United States)","United States","http://www.myspace.com/thestonehousemovie","English","Stone House","Kabul, Afghanistan","Tricky Pictures, Deviant Films, Silver Nitrate","Color",,"1.85 : 1, 2.35 : 1","https://www.imdb.com/title/tt1103256/",,"Feature Film",4.3,"https://www.imdb.com/title/tt1103256/mediaviewer/rm3555302401",3767,"2 wins",19,38,4,"I really enjoyed this director&#39;s last movie, Dead Birds, so I had high expectations for this one. Hollywood lives to disappoint though and Red Sands is a complete letdown.The setting is intriguing, the situation (a released djinn) promising, but the director doesn&#39;t deliver. Like a wounded snake the film drags its slow length along to an utterly predictable ending. The action is sparse, the suspense even sparser. The actors try their damnedest to inject some energy into this thing but like a balloon with a puncture they can huff and puff for all their might but it won&#39;t inflate.All in all a sorry show. Let&#39;s hope the director can learn by the mistakes made here for we know he&#39;s capable of a lot better. 4/10","During a mission in the Middle East, a group of US soldiers destroy a statue out of boredom only to then be visited by something the next day.","£1,500.00","tt1103256"
